Year,Economy,Economy Label,TEU (Twenty foot Equivalent Unit),TEU (Twenty foot Equivalent Unit) Footnote
2010,0000,"World",541758603.837,
2010,012,"Algeria",1180048,
2010,032,"Argentina",1992900,
2010,036,"Australia",6371630,
2010,044,"Bahamas",1125000,
2010,048,"Bahrain",269331,
2010,050,"Bangladesh",1349627,
2010,052,"Barbados",80430,
2010,056,"Belgium",11055745,
2010,076,"Brazil",6983069,
2010,100,"Bulgaria",166927,
2010,104,"Myanmar",335346,
2010,116,"Cambodia",286206,
2010,120,"Cameroon",290000,
2010,124,"Canada",4694495.54,
2010,136,"Cayman Islands",46285,
2010,144,"Sri Lanka",4100000,
2010,152,"Chile",3167305,
2010,156,"China",131989200,
2010,158,"China, Taiwan Province of",12497000,
2010,170,"Colombia",2447727,
2010,178,"Congo",355000,
2010,188,"Costa Rica",1036214,
2010,191,"Croatia",121091,
2010,196,"Cyprus",344882,
2010,208,"Denmark",734000,
2010,212,"Dominica",7363,
2010,214,"Dominican Republic",1636869,
2010,218,"Ecuador",1252570,
2010,222,"El Salvador",146817,
2010,233,"Estonia",152000,
2010,246,"Finland",1223702,
2010,251,"France",5185195,
2010,262,"Djibouti",600000,
2010,268,"Georgia",209800,
2010,276,"Germany",14674340,
2010,288,"Ghana",643100,
2010,300,"Greece",1137000,
2010,308,"Grenada",14565.25,
2010,320,"Guatemala",996793,
2010,328,"Guyana",59850,
2010,332,"Haiti",176874,
2010,340,"Honduras",619867,
2010,344,"China, Hong Kong SAR",23600000,
2010,352,"Iceland",193000,
2010,356,"India",8889576,
2010,360,"Indonesia",9010442,
2010,364,"Iran (Islamic Republic of)",2732500,
2010,372,"Ireland",817362,
2010,376,"Israel",2282000,
2010,380,"Italy",8021929,
2010,384,"Côte d'Ivoire",530000,
2010,388,"Jamaica",1891770,
2010,392,"Japan",18965865,
2010,400,"Jordan",606000,
2010,404,"Kenya",695600,
2010,410,"Korea, Republic of",18520000,
2010,414,"Kuwait",815532,
2010,422,"Lebanon",949000,
2010,428,"Latvia",256000,
2010,440,"Lithuania",295000,
2010,458,"Malaysia",16842919,
2010,470,"Malta",2450665,
2010,480,"Mauritius",332700,
2010,484,"Mexico",3697918,
2010,504,"Morocco",2800000,
2010,508,"Mozambique",290800,
2010,512,"Oman",3835395,
2010,516,"Namibia",256276,
2010,528,"Netherlands",11410060,
2010,554,"New Zealand",2330722,
2010,558,"Nicaragua",68224,
2010,566,"Nigeria",1232000,
2010,579,"Norway",531100,
2010,586,"Pakistan",2149000,
2010,591,"Panama",5590685,
2010,600,"Paraguay",8179,
2010,604,"Peru",1522741,
2010,608,"Philippines",5588702,
2010,616,"Poland",1054000,
2010,620,"Portugal",1399648,
2010,634,"Qatar",420000,
2010,642,"Romania",557000,
2010,643,"Russian Federation",3243368,
2010,659,"Saint Kitts and Nevis",2855.5,"Revised more than 20% in relation to the version published in 2020."
2010,660,"Anguilla",2523.5,
2010,662,"Saint Lucia",52478,
2010,670,"Saint Vincent and the Grenadines",16967,
2010,682,"Saudi Arabia",5313404,
2010,702,"Singapore",29147000,
2010,704,"Viet Nam",5886249,
2010,705,"Slovenia",481500,
2010,710,"South Africa",3959192,
2010,724,"Spain",12549202,
2010,736,"Sudan (...2011)",430000,
2010,740,"Suriname",59583,
2010,752,"Sweden",1405330,
2010,757,"Switzerland, Liechtenstein",99048,
2010,764,"Thailand",6818527,
2010,768,"Togo",339900,
2010,780,"Trinidad and Tobago",577883,
2010,784,"United Arab Emirates",15177436,
2010,788,"Tunisia",384646,
2010,792,"Turkey",5837078,
2010,804,"Ukraine",654000,
2010,818,"Egypt",6833009,
2010,834,"Tanzania, United Republic of",371278,
2010,842,"United States of America",42031000,
2010,858,"Uruguay",671952,
