Quarter,Quarter Label,Economy,Economy Label,"Growth rate, year-on-year","Growth rate, year-on-year Footnote",Growth rate (over previous period),Growth rate (over previous period) Footnote,Index (Maximum Q1 2006=100),Index (Maximum Q1 2006=100) Footnote,Ranking per quarter,Ranking per quarter Footnote
2006Q01,"Q1 2006",012,"Algeria",,,,,10.569,,87,
2006Q01,"Q1 2006",016,"American Samoa",,,,,7.09858,,116,
2006Q01,"Q1 2006",024,"Angola",,,,,13.02093,,69,
2006Q01,"Q1 2006",028,"Antigua and Barbuda",,,,,5.99402,,122,
2006Q01,"Q1 2006",032,"Argentina",,,,,26.1664,,33,
2006Q01,"Q1 2006",036,"Australia",,,,,26.16997,,32,
2006Q01,"Q1 2006",044,"Bahamas",,,,,20.05285,,47,
2006Q01,"Q1 2006",048,"Bahrain",,,,,7.10854,,115,
2006Q01,"Q1 2006",050,"Bangladesh",,,,,7.73356,,107,
2006Q01,"Q1 2006",052,"Barbados",,,,,7.78577,,106,
2006Q01,"Q1 2006",056,"Belgium",,,,,72.41044,,8,
2006Q01,"Q1 2006",060,"Bermuda",,,,,1.62925,,165,
2006Q01,"Q1 2006",076,"Brazil",,,,,32.8697,,23,
2006Q01,"Q1 2006",084,"Belize",,,,,3.33541,,153,
2006Q01,"Q1 2006",090,"Solomon Islands",,,,,5.63093,,126,
2006Q01,"Q1 2006",092,"British Virgin Islands",,,,,4.38196,,138,
2006Q01,"Q1 2006",096,"Brunei Darussalam",,,,,4.24555,,139,
2006Q01,"Q1 2006",100,"Bulgaria",,,,,7.68843,,108,
2006Q01,"Q1 2006",104,"Myanmar",,,,,3.57862,,150,
2006Q01,"Q1 2006",116,"Cambodia",,,,,3.58144,,149,
2006Q01,"Q1 2006",120,"Cameroon",,,,,14.74516,,65,
2006Q01,"Q1 2006",124,"Canada",,,,,32.8918,,22,
2006Q01,"Q1 2006",132,"Cabo Verde",,,,,3.52734,,152,
2006Q01,"Q1 2006",136,"Cayman Islands",,,,,2.18671,,160,
2006Q01,"Q1 2006",144,"Sri Lanka",,,,,31.94139,,24,
2006Q01,"Q1 2006",152,"Chile",,,,,17.1772,,53,
2006Q01,"Q1 2006",156,"China",,,,,100,,1,
2006Q01,"Q1 2006",158,"China, Taiwan Province of",,,,,59.31459,,13,
2006Q01,"Q1 2006",166,"Cocos (Keeling) Islands",,,,,0.87986,,170,
2006Q01,"Q1 2006",170,"Colombia",,,,,24.25748,,36,
2006Q01,"Q1 2006",174,"Comoros",,,,,4.08093,,144,
2006Q01,"Q1 2006",175,"Mayotte",,,,,6.36914,,119,
2006Q01,"Q1 2006",178,"Congo",,,,,11.51916,,79,
2006Q01,"Q1 2006",180,"Congo, Dem. Rep. of the",,,,,4.66084,,136,
2006Q01,"Q1 2006",184,"Cook Islands",,,,,0.6429,,172,
2006Q01,"Q1 2006",188,"Costa Rica",,,,,15.98987,,58,
2006Q01,"Q1 2006",191,"Croatia",,,,,10.66769,,86,
2006Q01,"Q1 2006",192,"Cuba",,,,,7.81675,,105,
2006Q01,"Q1 2006",196,"Cyprus",,,,,16.24032,,55,
2006Q01,"Q1 2006",204,"Benin",,,,,11.81641,,76,
2006Q01,"Q1 2006",208,"Denmark",,,,,22.88622,,41,
2006Q01,"Q1 2006",212,"Dominica",,,,,5.03192,,135,
2006Q01,"Q1 2006",214,"Dominican Republic",,,,,21.48544,,43,
2006Q01,"Q1 2006",218,"Ecuador",,,,,16.03896,,56,
2006Q01,"Q1 2006",222,"El Salvador",,,,,7.36736,,112,
2006Q01,"Q1 2006",226,"Equatorial Guinea",,,,,5.06847,,134,
2006Q01,"Q1 2006",232,"Eritrea",,,,,4.15734,,141,
2006Q01,"Q1 2006",233,"Estonia",,,,,6.78866,,117,
2006Q01,"Q1 2006",234,"Faroe Islands",,,,,4.20504,,140,
2006Q01,"Q1 2006",242,"Fiji",,,,,7.89763,,104,
2006Q01,"Q1 2006",246,"Finland",,,,,12.44488,,74,
2006Q01,"Q1 2006",251,"France",,,,,56.97905,,15,
2006Q01,"Q1 2006",254,"French Guiana",,,,,6.07417,,120,
2006Q01,"Q1 2006",258,"French Polynesia",,,,,10.37989,,90,
2006Q01,"Q1 2006",262,"Djibouti",,,,,11.46522,,80,
2006Q01,"Q1 2006",266,"Gabon",,,,,9.8741,,93,
2006Q01,"Q1 2006",268,"Georgia",,,,,4.53497,,137,
2006Q01,"Q1 2006",270,"Gambia",,,,,4.03091,,145,
2006Q01,"Q1 2006",276,"Germany",,,,,75.58881,,6,
2006Q01,"Q1 2006",288,"Ghana",,,,,15.472,,62,
2006Q01,"Q1 2006",292,"Gibraltar",,,,,1.84623,,164,
2006Q01,"Q1 2006",300,"Greece",,,,,29.74338,,27,
2006Q01,"Q1 2006",304,"Greenland",,,,,1.89329,,163,
2006Q01,"Q1 2006",308,"Grenada",,,,,5.40573,,130,
2006Q01,"Q1 2006",312,"Guadeloupe",,,,,10.21003,,91,
2006Q01,"Q1 2006",316,"Guam",,,,,8.52611,,99,
2006Q01,"Q1 2006",320,"Guatemala",,,,,20.56487,,44,
2006Q01,"Q1 2006",324,"Guinea",,,,,8.83061,,97,
2006Q01,"Q1 2006",328,"Guyana",,,,,7.42432,,110,
2006Q01,"Q1 2006",332,"Haiti",,,,,3.95136,,146,
2006Q01,"Q1 2006",340,"Honduras",,,,,11.76513,,77,
2006Q01,"Q1 2006",344,"China, Hong Kong SAR",,,,,84.15475,,2,
2006Q01,"Q1 2006",352,"Iceland",,,,,5.09022,,133,
2006Q01,"Q1 2006",356,"India",,,,,42.24236,,18,
2006Q01,"Q1 2006",360,"Indonesia",,,,,33.91174,,21,
2006Q01,"Q1 2006",364,"Iran (Islamic Republic of)",,,,,18.38181,,50,
2006Q01,"Q1 2006",368,"Iraq",,,,,3.16629,,154,
2006Q01,"Q1 2006",372,"Ireland",,,,,11.13543,,81,
2006Q01,"Q1 2006",376,"Israel",,,,,22.93378,,40,
2006Q01,"Q1 2006",380,"Italy",,,,,57.20977,,14,
2006Q01,"Q1 2006",384,"Côte d'Ivoire",,,,,15.4053,,63,
2006Q01,"Q1 2006",388,"Jamaica",,,,,25.74403,,34,
2006Q01,"Q1 2006",392,"Japan",,,,,72.69402,,7,
2006Q01,"Q1 2006",400,"Jordan",,,,,17.44321,,51,
2006Q01,"Q1 2006",404,"Kenya",,,,,11.61963,,78,
2006Q01,"Q1 2006",408,"Korea, Dem. People's Rep. of",,,,,0.6972,,171,
2006Q01,"Q1 2006",410,"Korea, Republic of",,,,,68.17328,,10,
2006Q01,"Q1 2006",414,"Kuwait",,,,,11.09534,,82,
2006Q01,"Q1 2006",422,"Lebanon",,,,,24.19638,,37,
2006Q01,"Q1 2006",428,"Latvia",,,,,7.16609,,114,
2006Q01,"Q1 2006",430,"Liberia",,,,,4.101,,142,
2006Q01,"Q1 2006",434,"Libya",,,,,10.05776,,92,
2006Q01,"Q1 2006",440,"Lithuania",,,,,5.61398,,127,
2006Q01,"Q1 2006",450,"Madagascar",,,,,10.43952,,88,
2006Q01,"Q1 2006",458,"Malaysia",,,,,63.95028,,12,
2006Q01,"Q1 2006",462,"Maldives",,,,,5.40109,,131,
2006Q01,"Q1 2006",470,"Malta",,,,,26.61171,,30,
2006Q01,"Q1 2006",474,"Martinique",,,,,10.40104,,89,
2006Q01,"Q1 2006",478,"Mauritania",,,,,6.70635,,118,
2006Q01,"Q1 2006",480,"Mauritius",,,,,14.92205,,64,
2006Q01,"Q1 2006",484,"Mexico",,,,,31.65706,,25,
2006Q01,"Q1 2006",504,"Morocco",,,,,11.01204,,83,
2006Q01,"Q1 2006",508,"Mozambique",,,,,8.52099,,100,
2006Q01,"Q1 2006",512,"Oman",,,,,22.94871,,39,
2006Q01,"Q1 2006",516,"Namibia",,,,,9.4904,,94,
2006Q01,"Q1 2006",528,"Netherlands",,,,,71.24735,,9,
2006Q01,"Q1 2006",530,"Netherlands Antilles",,,,,12.6995,,72,
2006Q01,"Q1 2006",533,"Aruba",,,,,7.98175,,103,
2006Q01,"Q1 2006",540,"New Caledonia",,,,,10.93051,,85,
2006Q01,"Q1 2006",548,"Vanuatu",,,,,5.80614,,124,
2006Q01,"Q1 2006",554,"New Zealand",,,,,20.25192,,46,
2006Q01,"Q1 2006",558,"Nicaragua",,,,,5.30442,,132,
2006Q01,"Q1 2006",566,"Nigeria",,,,,15.73666,,60,
2006Q01,"Q1 2006",574,"Norfolk Island",,,,,0.88327,,169,
2006Q01,"Q1 2006",579,"Norway",,,,,7.16759,,113,
2006Q01,"Q1 2006",580,"Northern Mariana Islands",,,,,2.53443,,157,
2006Q01,"Q1 2006",583,"Micronesia (Federated States of)",,,,,1.5551,,166,
2006Q01,"Q1 2006",584,"Marshall Islands",,,,,3.59942,,148,
2006Q01,"Q1 2006",585,"Palau",,,,,2.53443,,157,
2006Q01,"Q1 2006",586,"Pakistan",,,,,24.14348,,38,
2006Q01,"Q1 2006",591,"Panama",,,,,24.73217,,35,
2006Q01,"Q1 2006",598,"Papua New Guinea",,,,,8.33553,,101,
2006Q01,"Q1 2006",604,"Peru",,,,,17.24785,,52,
2006Q01,"Q1 2006",608,"Philippines",,,,,19.76732,,48,
2006Q01,"Q1 2006",616,"Poland",,,,,8.89101,,96,
2006Q01,"Q1 2006",620,"Portugal",,,,,26.46108,,31,
2006Q01,"Q1 2006",624,"Guinea-Bissau",,,,,2.71305,,156,
2006Q01,"Q1 2006",626,"Timor-Leste",,,,,1.99905,,162,
2006Q01,"Q1 2006",630,"Puerto Rico",,,,,15.89655,,59,
2006Q01,"Q1 2006",634,"Qatar",,,,,8.25836,,102,
2006Q01,"Q1 2006",638,"Réunion",,,,,12.87466,,71,
2006Q01,"Q1 2006",642,"Romania",,,,,16.00067,,57,
2006Q01,"Q1 2006",643,"Russian Federation",,,,,18.51983,,49,
2006Q01,"Q1 2006",659,"Saint Kitts and Nevis",,,,,3.16515,,155,
